url,title,author,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,"awards
",places
http://www.example.com/activity?advice=blow&brother=brick,couch,Cheyenne,389,5,250,"May 5, 1921",1,horse,double,childlike
http://www.example.com/basin/agreement,magnet,Morgan,646,4,199,"Jul. 18, 2008",1,addax,giraffe,doctor
http://art.example.net/achiever/beginner.aspx,food,Leticia,4303,10,541,"Aug. 15, 1974",0,doe,aquatic,border
https://example.com/belief,beef,Jaylynn,4534,7,431,"Jan. 14, 1951",0,coati,trail,file
http://www.example.com/bath.php?blade=authority&army=basket#board,street lights,Destiny,1685,1,276,"Sep. 27, 2010",0,marten,increase,homely
http://www.example.com/airport?bell=amount,window,Linda,4641,8,271,"Mar. 28, 1953",0,dung beetle,exclusive,sulky
https://example.net/,tire swing,Paulina,2681,1,260,"Nov. 25, 1966",0,bald eagle,degree,count
https://www.example.org/,photo album,Meredith,1807,10,339,"Dec. 19, 1983",1,crocodile,country,wipe
http://www.example.com/acoustics.html?afternoon=authority&beginner=bead,cookie jar,Jamiya,347,9,506,"Jun. 25, 1992",0,coyote,expect,story
http://bag.example.com/advertisement,toe ring,Emma,602,8,375,"Aug. 14, 1999",0,mare,camera,courageous
http://www.example.com/,pencil,Paula,2564,10,330,"Oct. 21, 1936",0,rabbit,future,tranquil
http://www.example.com/,teddies,Carly,840,6,368,"Jun. 26, 2007",1,mynah bird,lace,uncle
https://www.example.com/arm/boy,money,Sofia,3938,10,333,"Oct. 17, 1936",1,cougar,spotty,rescue
http://example.com/appliance/argument,eye liner,Hadassah,902,10,227,"Oct. 9, 1995",0,hog,attempt,peep
https://www.example.com/,house,Kaylah,1548,1,195,"Jan. 3, 2004",0,baboon,decisive,magic
https://example.com/approval/airport,cinder block,Lillian,2372,9,161,"Jan. 9, 1931",1,lovebird,writer,transport
https://www.example.org/,sand paper,Emmalee,2426,3,118,"Aug. 9, 1964",0,chamois,real,grease
https://www.example.org/airplane?attraction=bike&bait=box,coasters,April,1054,2,105,"Jul. 28, 2021",0,alpaca,melted,like
https://box.example.com/baby,book,Sierra,776,3,548,"Jan. 3, 1966",1,aoudad,handsomely,greedy
https://www.example.com/,shoes,Noemi,50,3,518,"Nov. 13, 1998",0,rhinoceros,brave,frightened
http://bubble.example.com/ball/alarm,thermostat,Kaya,3708,9,515,"Apr. 19, 1963",1,panda,regret,comfortable
http://www.example.edu/,glass,Jaycee,3079,1,285,"Jul. 29, 1960",0,goat,pathetic,draconian
https://ants.example.com/boundary,video games,Cristal,677,9,100,"Feb. 14, 1983",0,tiger,guess,happy
http://example.com/bath.php,sketch pad,Cecelia,1440,8,327,"Jan. 31, 1921",0,chipmunk,encouraging,tub
https://example.com/bead,tissue box,Michelle,5256,8,228,"Nov. 26, 1998",1,alligator,decay,bake
http://advice.example.com/?basin=amusement&blade=branch,doll,Abagail,1965,4,159,"Jul. 31, 1944",0,cheetah,mouth,jobless
